Brand,Item,Serving Size,Calories,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g)
Chipotle,Flour Tortilla (burrito),1 ea,320.0,9.0,0.5,0.0,0.0,600.0,50.0,3.0,0.0,8.0
Chipotle,Crispy Corn Tortilla,1 ea,70.0,3.0,0.5,0.0,0.0,0.0,10.0,1.0,0.0,1.0
Chipotle,Cilantro-Lime Brown Rice,113 g,210.0,5.5,0.0,0.0,0.0,195.0,36.0,2.5,0.0,4.0
Chipotle,Cilantro-Lime White Rice,113 g,210.0,4.0,1.0,0.0,0.0,345.0,40.0,1.0,0.0,3.0
Chipotle,Black Beans,113 g,130.0,1.5,0.0,0.0,0.0,210.0,22.0,7.0,2.0,8.0
Chipotle,Pinto Beans,113 g,130.0,1.5,0.0,0.0,0.0,210.0,21.0,8.0,1.0,8.0
Chipotle,Fajita Vegetables,57 g,20.0,0.5,0.0,0.0,0.0,150.0,5.0,1.0,2.0,1.0
Chipotle,Barbacoa,113 g,170.0,7.0,2.5,0.0,65.0,530.0,2.0,1.0,0.0,24.0
Chipotle,Chicken,113 g,180.0,7.0,3.0,0.0,125.0,310.0,0.0,0.5,0.0,32.0
Chipotle,Carnitas,113 g,210.0,12.0,6.5,0.0,65.0,450.0,0.0,0.0,0.0,23.0
Chipotle,Steak,113 g,150.0,6.5,2.0,0.0,80.0,330.0,1.0,1.0,0.0,21.0
Chipotle,Sofritas,113 g,150.0,10.0,1.5,0.0,0.0,555.0,9.0,3.5,4.5,8.0
Chipotle,Fresh Tomato Salsa,113 g,25.0,0.0,0.0,0.0,0.0,550.0,4.0,1.0,1.0,0.0
Chipotle,Roasted Chili-Corn Salsa,113 g,80.0,1.5,0.0,0.0,0.0,330.0,16.0,3.0,4.0,3.0
Chipotle,Tomatillo-Green Chili Salsa,59 ml,15.0,0.0,0.0,0.0,0.0,255.0,4.0,0.0,1.5,0.0
Chipotle,Tomatillo-Red Chili Salsa,59 ml,30.0,0.0,0.0,0.0,0.0,500.0,4.0,1.5,0.0,0.0
Chipotle,Sour Cream,57 g,90.0,8.0,4.5,0.0,25.0,45.0,3.0,0.0,2.0,1.0
Chipotle,Guacamole (topping/side),113 g,230.0,22.0,3.5,0.0,0.0,375.0,8.0,6.0,1.0,2.0
Chipotle,Guacamole (large),226 g,460.0,44.0,7.0,0.0,0.0,740.0,16.0,12.0,2.0,4.0
Chipotle,Queso Blanco (entreé),57 g,120.0,9.0,6.0,0.0,30.0,250.0,4.0,0.0,1.0,5.0
Chipotle,Queso Blanco (side),113 g,240.0,18.0,12.0,1.0,60.0,490.0,7.0,0.0,2.0,10.0
Chipotle,Supergreens Mix (salad),85 g,15.0,0.0,0.0,0.0,0.0,15.0,3.0,2.0,1.0,1.0
Chipotle,Romaine Lettuce (tacos),28 g,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Chipotle,Chips (regular),113 g,540.0,25.0,3.5,0.0,0.0,390.0,73.0,7.0,1.0,7.0
Chipotle,Chips (large),170 g,810.0,38.0,5.0,0.0,0.0,590.0,110.0,11.0,2.0,11.0
Chipotle,Vinaigrette,59 ml,220.0,16.0,2.5,0.0,0.0,850.0,18.0,1.0,12.0,1.0
Chipotle,Barq’s Root Beer,650 ml,280.0,0.0,0.0,0.0,0.0,130.0,85.0,0.0,85.0,0.0
Chipotle,950 ml,,430.0,0.0,0.0,0.0,0.0,180.0,120.0,0.0,120.0,0.0
Chipotle,Coca-Cola Classic,650 ml,260.0,0.0,0.0,0.0,0.0,85.0,70.0,0.0,70.0,0.0
Chipotle,950 ml,,380.0,0.0,0.0,0.0,0.0,120.0,105.0,0.0,105.0,0.0
Chipotle,Diet Coke,650 ml,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
Chipotle,950 ml,,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0
Chipotle,Iced Tea,650 ml,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Chipotle,950 ml,,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Chipotle,Canada Dry Ginger Ale,650 ml,260.0,0.0,0.0,0.0,0.0,88.0,66.0,0.0,65.0,0.0
Chipotle,950 ml,,370.0,0.0,0.0,0.0,0.0,128.0,96.0,0.0,95.0,0.0
Chipotle,Sprite,650 ml,260.0,0.0,0.0,0.0,0.0,120.0,70.0,0.0,70.0,0.0
Chipotle,950 ml,,380.0,0.0,0.0,0.0,0.0,180.0,105.0,0.0,105.0,0.0
Chipotle,Coca-Cola Zero Sugar,650 ml,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
Chipotle,950 ml,,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0
Chipotle,Fanta Orange,650 ml,290.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,80.0,0.0
Chipotle,950 ml,,430.0,0.0,0.0,0.0,0.0,140.0,120.0,0.0,120.0,0.0
Chipotle,Nestea,650 ml,140.0,0.0,0.0,0.0,0.0,125.0,33.0,0.0,30.0,0.0
Chipotle,950 ml,,210.0,0.0,0.0,0.0,0.0,180.0,48.0,0.0,44.0,0.0
Chipotle,Regular Beer,330 ml,170.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0
Chipotle,Light Beer,330 ml,110.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0
Chipotle,Sauza Margarita,330 ml,230.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,21.0,0.0
Chipotle,Tractor Berry Agua Fresca,650 ml,200.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,49.0,0.0
Chipotle,950 ml,,290.0,0.0,0.0,0.0,0.0,15.0,72.0,0.0,72.0,0.0
Chipotle,Tractor Watermelon Limeade,650 ml,230.0,0.0,0.0,0.0,0.0,5.0,56.0,0.0,50.0,0.0
Chipotle,950 ml,,330.0,0.0,0.0,0.0,0.0,10.0,82.0,0.0,72.0,0.0
Chipotle,Tractor Lemonade,650 ml,170.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0,37.0,0.0
Chipotle,950 ml,,250.0,0.0,0.0,0.0,0.0,15.0,62.0,0.0,53.0,0.0
Chipotle,Tractor Mandarin Agua Fresca,650 ml,190.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,47.0,0.0
Chipotle,950 ml,,280.0,0.0,0.0,0.0,0.0,5.0,69.0,0.0,69.0,0.0
Chipotle,Flour Tortilla (taco),2 ea,170.0,5.0,0.0,0.0,0.0,320.0,27.0,1.0,0.0,5.0
Chipotle,Crispy Corn Tortilla,2 ea,130.0,6.0,1.0,0.0,0.0,0.0,19.0,2.0,0.0,2.0
Chipotle,Cilantro-Lime Brown Rice,57 g,110.0,3.0,0.0,0.0,0.0,95.0,18.0,1.0,0.0,2.0
Chipotle,Cilantro-Lime White Rice,57 g,100.0,2.0,0.5,0.0,0.0,170.0,20.0,0.0,0.0,2.0
Chipotle,Black Beans,85 g,100.0,1.0,0.0,0.0,0.0,160.0,16.0,5.0,1.0,6.0
Chipotle,Pinto Beans,85 g,100.0,1.0,0.0,0.0,0.0,160.0,15.0,6.0,1.0,6.0
Chipotle,Fajita Vegetables,57 g,20.0,0.0,0.0,0.0,0.0,150.0,5.0,1.0,2.0,1.0
Chipotle,Chicken,57 g,90.0,3.0,1.5,0.0,65.0,150.0,0.0,0.0,0.0,15.0
Chipotle,Carnitas,57 g,110.0,6.0,3.0,0.0,32.0,220.0,0.0,0.0,0.0,12.0
Chipotle,Sofritas,57 g,70.0,5.0,1.0,0.0,0.0,275.0,5.0,1.5,2.0,4.0
Chipotle,Fresh Tomato Salsa,57 g,15.0,0.0,0.0,0.0,0.0,315.0,1.0,0.0,0.5,0.0
Chipotle,Roasted Chili-Corn Salsa,57 g,40.0,1.0,0.0,0.0,0.0,190.0,9.0,1.5,2.5,1.0
Chipotle,Tomatillo-Green Chili Salsa,59 ml,15.0,0.0,0.0,0.0,0.0,255.0,4.0,0.0,1.5,0.0
Chipotle,Tomatillo-Red Chili Salsa,59 ml,30.0,0.0,0.0,0.0,0.0,500.0,4.0,1.5,0.0,0.0
Chipotle,Guacamole,57 g,110.0,11.0,1.5,0.0,0.0,190.0,3.0,3.0,0.0,1.0
Chipotle,Romaine Lettuce (tacos),28 g,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Chipotle,Mandarins,71 g,35.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7.0,1.0
Chipotle,Valencia Oranges,1 ea,80.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,14.0,1.0
Chipotle,Chips,28 g,140.0,6.0,1.0,0.0,0.0,95.0,18.0,2.0,0.0,2.0
Chipotle,Kiju Organic Apple Juice,200 ml,90.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,18.0,0.0
Chipotle,Regular Milk,237 ml,130.0,5.0,3.0,0.0,20.0,120.0,12.0,0.0,12.0,8.0
Chipotle,Chocolate Milk,237 ml,160.0,2.5,1.5,0.0,10.0,115.0,27.0,1.0,26.0,7.0
Cactus Club,Ravioli & Prawn Trio,199 g,560.0,45.0,22.0,1.5,235.0,1100.0,19.0,1.0,3.0,17.0
Cactus Club,Chicken Wings,259 g,850.0,55.0,15.0,0.5,350.0,330.0,0.0,0.0,0.0,83.0
Cactus Club,Creamy Parmesan Dip,30 g,170.0,20.0,4.0,0.0,20.0,80.0,1.0,0.0,0.0,1.0
Cactus Club,Garlic Mayo,45 g,290.0,35.0,6.0,0.0,30.0,150.0,1.0,0.0,0.0,0.0
Cactus Club,Mini Burgers,356 g,980.0,67.0,26.0,1.0,200.0,1110.0,41.0,4.0,24.0,44.0
Cactus Club,Potato Skins,299 g,1050.0,87.0,25.0,1.0,110.0,1870.0,39.0,4.0,3.0,32.0
Cactus Club,Creole Fries (12oz),289 g,980.0,81.0,13.0,0.5,45.0,1250.0,64.0,6.0,3.0,7.0
Cactus Club,Creole Fries (8oz),209 g,760.0,67.0,11.0,0.4,45.0,910.0,43.0,4.0,2.0,5.0
Cactus Club,Creole Fries (4oz),129 g,530.0,52.0,9.0,0.2,40.0,600.0,22.0,2.0,1.0,3.0
Cactus Club,Truffle Fries,249 g,670.0,47.0,5.0,0.2,10.0,2480.0,60.0,5.0,3.0,9.0
Cactus Club,Garlic Mayo,45 g,290.0,35.0,6.0,0.0,30.0,150.0,1.0,0.0,0.0,0.0
Cactus Club,Wagyu Beef Carpaccio,297 g,1090.0,89.0,31.0,2.0,135.0,1890.0,56.0,4.0,3.0,25.0
Cactus Club,Hot Chicken & Pickles,277 g,790.0,39.0,4.0,0.1,130.0,1380.0,56.0,2.0,14.0,51.0
