food_id,food_name,brand,original_serving,calories_per_original_serving,protein_g_per_original_serving,carbs_g_per_original_serving,fat_g_per_original_serving,fiber_g_per_original_serving,sodium_mg_per_original_serving,diary_entries,first_logged,last_logged,review_status
2ac645d5-9e6d-4edb-b584-191c963de6cb,"CanPrev, Magnesium Bis-Glycinate 200",,2.00 capsule,0.0,0.0,0.0,0.0,,,55,2023-04-09,2023-07-31,Needs verified grams per original serving
b5eb18e0-9d33-4a31-9d90-34ca56705dc8,"Whittaker's, Milk Chocolate Bar, Fresh Roasted Almond Gold",,1.00 serving,263.45,6.9,18.0,18.4,,21.0,24,2024-09-13,2025-12-01,Needs verified grams per original serving
87c51d57-35d9-4f17-91e2-8a8023c64130,"Raising Cane's, Chicken Finger, 130 Cal",,5.00 finger,650.0,65.0,25.0,30.0,5.0,950.0,18,2024-02-22,2026-05-02,Needs verified grams per original serving
188d34ec-a759-422b-b3af-649386b4c097,"Raising Cane's, Cane's Sauce",,1.50 Serving,285.0,0.0,9.0,28.5,0.0,870.0,16,2024-02-22,2026-05-02,Needs verified grams per original serving
03c6ed77-6521-4325-883b-878c5c14e9ff,"Whole Foods, Carrot Cake",,1.50 slice,750.0,6.0,88.5,42.0,1.5,465.0,15,2024-02-25,2026-04-05,Needs verified grams per original serving
8185da5b-e3bc-4fd3-a304-87ca7c67853a,"Reese’s, Zero Sugar Miniature Cups, Chocolate Candy & Peanut Butter",,0.33 x 3.0 pieces,36.63,0.67,5.33,2.66,1.0,23.31,14,2025-01-02,2025-05-20,Needs verified grams per original serving
7ac258df-537f-4b7c-b7b8-00ae47714fbb,"Eastern Fisheries, Scallops",,1.66 x 3.0 scallops,182.6,29.88,9.96,1.66,0.0,315.4,9,2023-07-09,2023-12-20,Needs verified grams per original serving
e3ccc16f-13b0-4030-aacc-8f2dfb907d9d,"Metamucil, Sugar-Free, Orange Smooth",,1.00 x 2.0 rounded teaspoons,45.0,0.0,11.0,0.0,6.0,10.0,9,2023-04-11,2023-09-13,Needs verified grams per original serving
cdabb8ea-595a-407f-b247-db22b7cd52ac,Cactus club bacon cheddar burger,,1.00 1,830.0,52.0,55.0,47.0,3.0,1970.0,7,2024-02-24,2025-09-04,Needs verified grams per original serving
fc9cd00d-0d58-4465-8208-fd217c611b29,"Cheeseburger on a Bun, Third Pound, Plain",,1.00 each,526.64,35.74,29.92,28.28,1.03,1037.39,6,2026-04-22,2026-07-09,Needs verified grams per original serving
4963c41d-d3b6-4751-a99f-a83e43f452b3,"Garlic, Fresh",,1.00 clove,3.9,0.2,0.85,0.01,0.08,0.51,6,2023-04-17,2024-02-06,Needs verified grams per original serving
15227416-ca17-402a-a7b4-55c526b0430a,"Western Family, Rice Cakes, Caramel Corn",,2.00 rice cake,100.0,2.0,22.0,0.0,0.0,60.0,6,2025-10-14,2025-10-17,Needs verified grams per original serving
4dd504e7-70c8-45ed-8f43-20a4f3cff6db,"A&W, Papa Burger, Double",,1.00 Serving,640.0,38.0,42.0,35.0,1.0,1210.0,5,2023-08-09,2026-03-21,Needs verified grams per original serving
09e9569a-bb59-4d85-b43d-f1b7c5d2ff4b,"Tomato, Red, Raw",,"1.00 medium - 2 3/5"" diameter",22.14,1.08,4.78,0.25,1.48,6.15,5,2024-05-07,2026-09-03,Needs verified grams per original serving
bf9a3277-3257-40ab-8f78-104b8f8d9bb7,"Whole Foods, Sesame Bagel",,1.00 bagel,320.0,10.0,57.0,6.0,3.0,510.0,5,2024-11-01,2025-05-17,Needs verified grams per original serving
4f17da6f-368c-493d-8566-5fa5f9685490,"Chipotle, Roasted Chili-Corn Salsa, Medium",,0.80 order,58.01,2.02,12.98,0.8,1.92,263.71,4,2024-03-12,2024-12-28,Needs verified grams per original serving
f70122ea-7855-4166-9862-d0c0926c3db8,Coffee,,1.00 small or tall - each 12 fl oz,3.55,0.43,1.67,0.07,1.67,7.1,4,2026-03-28,2026-08-21,Needs verified grams per original serving
f64b8ea6-eb40-479b-a01b-c9f6b364af21,"Eggs, Cooked (golden )",,1.00 extra large,86.8,7.04,0.63,5.94,0.0,69.44,4,2023-08-06,2023-08-09,Needs verified grams per original serving
4bb3982a-fd5c-4842-84a1-be3b924ce007,"Lindt, Pralines Classiques, Assorted Fine Chocolates",,0.50 x 4.0 pieces,125.0,1.5,12.0,8.0,1.0,12.5,4,2024-12-31,2025-01-07,Needs verified grams per original serving
7886bf80-85ba-48c6-846e-505832febc53,"Sesame Snaps, Sesame Snack, Classic",,1.00 package,150.0,4.0,14.0,9.0,2.0,3.0,4,2024-11-29,2025-12-16,Needs verified grams per original serving
531fb673-f07e-4ead-8013-e37c0927b757,"Whole Foods, Everything Bagel",,1.00 bagel,310.0,9.0,57.0,3.0,4.0,890.0,4,2024-07-16,2024-10-07,Needs verified grams per original serving
a2146084-c2c7-4f8c-b905-a0fd0a6b1d17,"A&W, Buddy Burger",,2.00 burger,620.0,26.0,72.0,26.0,4.0,1400.0,3,2025-06-19,2025-10-09,Needs verified grams per original serving
89612e6f-9134-493e-84ee-c2116b9b8cae,"Bakestone Brothers, Pita, White",,2.00 pita,320.0,10.0,62.0,1.0,2.0,500.0,3,2024-04-20,2024-06-24,Needs verified grams per original serving
8c606886-6192-41d2-baaf-5f19199b6c3d,"Bazooka, Bubble Gum, Original",,2.00 piece,40.0,0.0,10.0,0.0,,10.0,3,2025-06-07,2026-08-10,Needs verified grams per original serving
dcbb0d34-33d4-4540-88c4-bb80371c176f,"Bick's, Baby Dills, Garlic",,2.00 pickle,6.0,0.2,2.0,0.0,,540.0,3,2023-11-13,2023-11-19,Needs verified grams per original serving
294d3a70-f126-44a8-9b28-12a08293c8f6,"BJ's Brewhouse, Aperol Spritz",,1.00 Serving,160.0,0.0,18.0,0.0,0.0,1.0,3,2025-12-23,2026-08-20,Needs verified grams per original serving
b38c810a-7d5e-4155-af2a-768decadac33,"Brownie, Chocolate",,"1.00 regular - approx 2"" x 2""",211.45,2.61,24.18,11.75,1.35,11.2,3,2024-04-20,2026-07-03,Needs verified grams per original serving
76d17a3c-3e5f-41bf-908c-0afda7438a25,"Cheeseburger on a Bun, Half Pound, with Bacon, Lettuce, Pickle, Onion, Mustard",,1.00 each,744.96,54.16,32.41,42.8,1.67,1523.49,3,2023-06-09,2026-06-17,Needs verified grams per original serving
427f631e-3fd0-4b32-8dca-4cb1100e4d38,"Chicken Enchiladas, No Beans, With Cheese",,"3.00 each - 6"" long, 6"" diameter tortilla rolled",602.0,44.8,46.97,26.05,5.4,1976.35,3,2023-05-03,2024-12-27,Needs verified grams per original serving
6f145679-0529-47f2-9bb9-f11c47249819,"Herdez, Mexican Salsa, Hot",,4.00 x 2.0 c à soupe,40.0,0.8,4.0,0.0,0.0,1080.0,3,2024-01-29,2024-07-08,Needs verified grams per original serving
a5d20202-ffdd-4a77-b8b6-4bb97a76122a,"Jojo’s, Dark Chocolate Bites, Pistachios, Almonds, Cranberries",,0.50 x 4.0 bites,120.0,3.5,8.0,8.5,2.5,0.0,3,2026-02-28,2026-03-08,Needs verified grams per original serving
2ea1d88e-d552-4948-b695-50140011f7c8,"Kind, Breakfast Bar, Peanut Butter",,2.00 x 2.0 bars,440.0,10.0,54.0,22.0,10.0,270.0,3,2025-06-22,2025-09-07,Needs verified grams per original serving
939d1369-c178-4f9f-ab23-61bd2e02fc41,Piri piri sauce,,1.00 Serving,105.22,0.9,11.29,7.05,0.91,885.29,3,2023-06-30,2023-07-02,Needs verified grams per original serving
f2b50cc5-bf96-4636-a632-2df211de23b5,Poke bowl (raw tuna and rice bowl),,1.50 bowl,939.53,52.64,74.09,48.29,12.89,948.98,3,2024-02-09,2025-05-15,Needs verified grams per original serving
42a71084-2902-45c2-abe6-7f702404ef92,"Spring roll, with pork",,1.50 each,245.53,14.06,29.85,7.28,1.39,119.68,3,2025-04-16,2026-07-12,Needs verified grams per original serving
985202d7-9e4e-420a-8db7-ea02d180872a,"Unreal, Coconut Minis, Dark Chocolate",,0.33 x 3.0 bars,69.99,0.67,8.0,5.0,1.0,0.0,3,2024-10-20,2026-07-06,Needs verified grams per original serving
dde68d0e-e7c9-4f33-83f2-f065713b6f4d,"Unreal, Dark Chocolate Peanut Butter Cups",,1.00 serving,79.95,1.0,7.0,6.0,1.0,40.0,3,2026-05-14,2026-08-02,Needs verified grams per original serving
2b8cc638-73f2-49f2-aad7-705e639e7c28,"A&W, Teen Burger",,1.00 burger,500.0,27.0,36.0,30.0,2.0,940.0,2,2025-12-25,2026-03-21,Needs verified grams per original serving
b6b629da-eb87-4b00-8410-e48e88b68a8f,"Blue Hill Bay, Smoked Ahi Tuna Poke Bowl",,1.80 bowl,648.0,43.2,99.0,4.5,1.8,2646.0,2,2023-05-12,2023-05-17,Needs verified grams per original serving
5d2771a3-3b11-4b73-9259-e3149ecb1755,Bounty,,1.00 Serving,140.23,1.05,17.01,7.32,,29.07,2,2025-06-18,2026-02-05,Needs verified grams per original serving
7390fcd2-b470-4755-83de-73a47b6b392f,"Burger on a Bun, Third Pound, Plain",,1.00 each,422.88,30.6,28.57,19.57,1.03,563.67,2,2026-04-10,2026-05-04,Needs verified grams per original serving
4b19061e-2d10-4fb7-a89c-5abb18488236,"Carlson, Cod Liver Oil, Super 1000 mg",,3.00 softgel,30.0,0.0,0.0,3.0,,,2,2023-10-29,2024-01-28,Needs verified grams per original serving
448c414f-e9a3-4918-8322-0f4dbdfdb0aa,"Casa Mendosa, Triple Baked Tortillas, Original",,1.00 tortilla,190.0,5.0,31.0,5.0,1.0,330.0,2,2023-10-24,2023-10-31,Needs verified grams per original serving
01706c4d-4fdb-4aef-b541-060351c9bcb7,"Cheeseburger on a Bun, Third Pound with Mayo, Bacon, Lettuce, Pickle, Onion, Mustard",,1.00 each,706.54,41.78,32.49,44.42,1.67,1566.51,2,2024-03-23,2025-07-11,Needs verified grams per original serving
eab4bcf2-0626-4302-a59f-c47a154438e8,"Chipotle, Tomato Salsa, Mild",,1.00 order,17.19,0.71,3.82,0.14,0.89,549.12,2,2024-03-12,2024-04-02,Needs verified grams per original serving
90a2ac8c-06c2-4569-96a8-385a707581f3,"Core Power, Elite Vanilla",,1.00 bottle,231.84,41.98,7.99,3.52,0.0,248.4,2,2023-09-24,2023-09-26,Needs verified grams per original serving
1c9e0bd4-6eb6-4f4f-b2bb-9bd759e80554,"Country Archer, Teriyaki Grass-Fed Beef Jerky, Teriyaki",,1.00 serving,70.0,10.0,6.0,0.5,0.0,220.08,2,2023-07-17,2023-07-18,Needs verified grams per original serving
4f4e2368-ce86-4bb1-bfe3-ef4bac76fd3e,"Dairy Queen, Blizzard, Oreo Cookies",,0.15 small,98.89,2.36,14.89,3.67,0.3,50.04,2,2025-09-17,2026-07-15,Needs verified grams per original serving
c406e1a1-20c8-4c73-95db-af8afdc31db4,"Hardbite, Potato Chips, All Dressed",,0.25 x 20.0 chips,50.0,1.0,6.0,2.5,0.75,31.25,2,2023-07-16,2026-01-31,Needs verified grams per original serving
bf824034-1dac-4eba-ae23-27c4c057259b,"Just Panela, Cane Sugar",,2.00 Serving,36.0,0.0,8.0,0.0,0.0,0.0,2,2023-08-08,2023-09-08,Needs verified grams per original serving
abf0c423-f55f-47ca-b1a3-68ecc2682426,"Krispy Kreme, Doughnuts, Original Glazed",,0.50 Doughnut,95.0,1.5,11.0,5.5,0.25,42.5,2,2025-07-05,2026-05-07,Needs verified grams per original serving
85b1a27b-779b-4371-8bb2-db836773c2f3,"Premier Seafoods, Wild Smoked Sockeye Salmon Candy",,1.00 x 3.0 pieces,130.0,16.0,11.0,2.5,0.0,340.0,2,2023-12-16,2026-07-13,Needs verified grams per original serving
b2eb4f46-222c-4651-9911-34a9a4699371,Purdy's Chocolatier,,0.80 x 2.0 pieces,112.0,1.6,12.8,7.2,0.8,32.0,2,2024-01-01,2024-01-01,Needs verified grams per original serving
58f7c2fd-a42c-4a88-86d8-d5697e0ad081,"Que Pasa, Tortilla Chips, Twist Of Lime",,0.60 x 28.0 chips,150.0,2.4,19.2,5.4,1.8,81.0,2,2023-05-22,2025-07-24,Needs verified grams per original serving
ee947d35-b165-4dc8-b4d3-b788dfde714f,"Save on Foods, Portugese Buns",,1.00 Bun,210.0,8.0,37.0,2.5,2.0,390.0,2,2026-04-10,2026-04-13,Needs verified grams per original serving
2f1c92f2-b3a8-4441-8359-417f41537a71,"Spring Lamb, Lamb Sausage",,1.00 sausage,180.0,11.0,5.0,13.0,1.0,390.0,2,2023-07-07,2023-07-08,Needs verified grams per original serving
0bc33cc8-6e2a-4e91-8504-3a21fcd73c41,"Stapleton Sausage Co., Greek Lamb Donair",,2.00 serving,300.0,34.0,8.0,14.0,2.0,860.0,2,2023-12-08,2023-12-09,Needs verified grams per original serving
c676e4e5-f41f-4679-86eb-ab88a13ae9e8,"Taco Chips, Salted",,25.00 chip,354.39,5.33,50.42,15.51,4.79,245.86,2,2024-07-06,2024-12-27,Needs verified grams per original serving
afb3ecfb-60fb-48a5-8bd0-b6f343ee327e,"Tante Fanny, Puff pastery",,1.00 serving,423.0,6.0,35.0,29.0,1.0,380.0,2,2024-05-21,2024-06-02,Needs verified grams per original serving
075d6a63-e356-4fae-853a-4d26fb8cc1fc,"The Keg, Fish & Chips",,1.00 Serving,780.0,39.0,104.0,22.0,5.0,3440.0,2,2023-11-04,2024-07-21,Needs verified grams per original serving
4e8dd287-eabf-41a0-9c80-5fe29ac4c125,"Ace Sushi, Vegetable Spring Roll",,4.00 Serving,400.0,8.0,40.0,24.0,4.0,120.0,1,2023-06-23,2023-06-23,Needs verified grams per original serving
198dfc92-8182-4979-822e-5720d8f1178b,"Actipan, Whole-Grain Bread Rolls",,1.00 portion,283.0,13.6,32.9,12.3,7.0,640.0,1,2023-09-02,2023-09-02,Needs verified grams per original serving
e1177b50-cddc-43b7-9675-53d4721f993c,"Aldi, Happy Farms, Deli Sliced Cheese, Sharp Cheddar",,1.00 slice,80.0,5.0,0.5,7.0,0.0,135.0,1,2023-09-20,2023-09-20,Needs verified grams per original serving
ca4990f6-a51f-44e3-8209-db9d031e19b2,"Alter Eco, Dark Salted Organic Chocolate, Brown Butter",,0.20 x 5.0 sections,46.0,0.6,3.6,3.6,1.0,12.8,1,2024-02-19,2024-02-19,Needs verified grams per original serving
ae2ea4e9-b715-44bd-adae-3148f69008ee,"Asian Home Gourmet, Spice Paste For Thai Yellow Curry",,1.50 serving,52.46,1.5,4.5,3.0,1.5,959.99,1,2023-09-22,2023-09-22,Needs verified grams per original serving
398b329e-0817-43bc-85e8-b05f113750f2,Bánh mì (vietnamesisches Sandwich),,1.00 sandwich,597.21,30.37,59.96,25.88,3.59,1008.66,1,2026-01-17,2026-01-17,Needs verified grams per original serving
2baeea30-c47e-42fb-a06c-b7d846e34b83,"Beautiful Denmark, Danish Butter Cookies",,0.50 x 4.0 cookies,85.0,1.0,11.5,4.0,0.5,50.0,1,2025-07-17,2025-07-17,Needs verified grams per original serving
122e4137-e341-46d6-9c1b-7f5a9653fec3,"Beef Enchiladas, without Beans or Cheese",,"1.00 each - 6"" long, 6"" diameter tortilla rolled",167.68,10.18,15.39,7.25,1.8,564.98,1,2023-07-31,2023-07-31,Needs verified grams per original serving
419147bf-5ae2-4658-9835-859b9a3d067d,"Bick's, Mini Crunch'ems, Garlic Rush",,2.00 x 3.0 pickles,6.0,0.2,2.0,0.0,,520.0,1,2024-04-30,2024-04-30,Needs verified grams per original serving
133c6708-0f1a-4d34-ae81-5b4917860f5d,"Boston Pizza, Jambalaya Fettuccini",,0.80 Serving,1096.0,48.8,115.2,48.8,8.0,2248.0,1,2025-01-25,2025-01-25,Needs verified grams per original serving
984633fc-845c-4264-a5f4-53ba56aebfc5,"Burger on a Bun, Third Pound with Ketchup",,1.00 each,438.03,30.76,32.68,19.59,1.07,699.72,1,2026-04-12,2026-04-12,Needs verified grams per original serving
fbc0a5b5-8bfa-41e8-9dcf-16f4f8d311d8,"Burger on a Bun, Third Pound with Ketchup, Mayo",,1.00 each,531.53,30.89,32.76,29.88,1.07,787.03,1,2026-05-09,2026-05-09,Needs verified grams per original serving
c7b668d6-c07e-4cd6-a0a8-089ea95c1f8e,Cactus club blackened creole chicken,,1.00 1,710.0,52.0,42.0,38.0,6.0,1840.0,1,2024-04-23,2024-04-23,Needs verified grams per original serving
