Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-04-07,2:35 PM,"Breakfast","Pistachio Nuts, Roasted, Unsalted","2.00 tbsp, whole pieces",87.48,0.00,0.00,7.53,44.58,0.28,0.11,0.04,0.21,0.08,0.17,0.00,24.44,7.84,2.04,0.46,0.00,0.33,2.03,16.45,0.20,0.62,16.76,0.19,72.10,154.82,1.54,0.92,0.36,2.65,4.24,1.58,1.54,0.05,0.21,1.19,7.04,0.00,3.77,2.05,0.87,0.00,0.03,0.03,0.00,0.00,2.02,0.00,2.02,0.05,0.08,0.15,0.26,0.18,0.06,0.18,3.24,0.11,0.04,0.08,0.20,"Nut and Seed Products"
2023-04-09,6:58 PM,"Breakfast","Eggs, Cooked","3.00 medium",204.60,0.00,0.00,0.00,0.00,98.50,0.09,0.68,0.08,1.85,0.16,1.47,14.52,58.08,197.12,0.00,114.84,1.36,0.40,66.00,0.02,1.57,13.20,0.03,227.04,166.32,40.66,163.68,1.39,1.47,1.48,0.00,0.00,0.00,0.00,1.48,14.01,492.36,5.38,1.87,4.31,0.00,0.09,0.03,0.05,0.01,1.73,0.20,1.52,0.39,0.39,0.91,1.42,1.19,0.52,0.88,16.61,0.80,0.20,0.68,1.01,"Dairy and Egg Products"
2023-04-09,6:58 PM,"Breakfast","Parmesan Cheese, Dry, Grated","30.00 g",126.00,0.00,0.00,2.70,0.00,6.79,0.01,0.11,0.02,0.14,0.02,0.42,21.90,1.80,78.32,0.00,6.30,0.16,0.51,255.90,0.01,0.15,10.20,0.02,188.10,54.00,10.32,541.20,1.26,4.17,4.17,0.00,0.00,0.00,0.00,0.02,8.35,25.80,2.14,0.42,4.61,0.26,0.04,0.03,0.00,0.00,0.26,0.00,0.26,0.03,0.24,0.44,0.82,0.66,0.23,0.46,8.53,0.32,0.11,0.52,0.56,"Dairy and Egg Products"
2023-04-09,6:58 PM,"Breakfast","Potatoes, Pan Fried","2.00 oz",94.17,0.00,0.00,14.13,29.28,55.22,0.07,0.01,0.94,0.36,0.19,0.00,0.78,6.42,0.07,5.27,0.00,0.34,8.31,6.01,0.12,0.22,14.29,0.10,28.55,234.09,1.29,171.05,0.19,12.81,14.28,1.47,0.76,0.71,11.27,0.63,3.72,0.00,0.58,1.42,1.66,0.04,0.17,0.17,0.00,0.00,1.21,0.00,1.21,0.02,0.03,0.05,0.07,0.07,0.02,0.05,1.22,0.04,0.02,0.05,0.07,"Vegetables and Vegetable Products"
2023-04-09,6:58 PM,"Breakfast","Olive Oil","10.00 g",88.40,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,6.02,0.10,0.00,0.06,0.00,0.00,0.00,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,7.30,1.05,1.38,0.02,0.08,0.08,0.00,0.00,0.98,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2023-04-09,12:11 PM,"Lunch","Egg fried rice with shrimp (Avacado oil)","1.00 full recipe",605.35,0.00,0.00,21.87,150.61,516.27,0.55,0.64,2.80,2.38,0.66,0.98,7571.76,127.81,892.72,29.61,76.56,3.58,43.69,142.03,0.33,3.69,75.86,1.38,331.35,747.48,41.84,228.50,2.80,69.76,79.67,9.30,6.39,2.91,43.79,17.50,24.10,328.24,13.39,3.46,4.75,0.00,0.24,0.21,0.03,0.00,2.88,0.13,2.74,0.40,0.47,0.96,1.56,1.29,0.50,1.00,21.67,0.94,0.24,0.70,1.13,"Ethnic Foods"
2023-04-09,6:59 PM,"Dinner","Nuts, Pecans","1.50 oz",297.67,0.00,0.00,27.22,192.21,1.11,0.23,0.06,0.40,0.37,0.07,0.00,12.33,9.36,1.19,0.47,0.00,0.60,1.74,23.39,0.39,1.01,43.80,0.97,107.59,153.09,1.62,0.00,1.67,2.94,5.40,2.46,2.32,0.14,0.20,1.69,31.16,0.00,16.70,9.75,2.75,0.00,0.44,0.44,0.00,0.00,8.77,0.00,8.77,0.06,0.11,0.16,0.28,0.14,0.07,0.20,4.24,0.13,0.05,0.13,0.18,"Nut and Seed Products"
2023-04-09,6:59 PM,"Dinner","Olive Oil","10.00 g",88.40,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,6.02,0.10,0.00,0.06,0.00,0.00,0.00,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,7.30,1.05,1.38,0.02,0.08,0.08,0.00,0.00,0.98,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2023-04-09,6:59 PM,"Dinner","Yam, Raw","270.00 g",318.60,,,,,187.92,0.30,0.09,1.49,0.85,0.79,,224.10,62.10,18.90,46.17,,0.94,6.21,45.90,0.48,1.46,56.70,1.07,148.50,2203.20,1.89,24.30,0.65,64.21,75.28,11.07,,,62.86,1.35,0.46,,0.02,0.21,0.10,,0.03,,,,0.17,,,0.05,0.09,0.14,0.26,0.16,0.06,0.19,4.13,0.15,0.03,0.11,0.17,"Vegetables and Vegetable Products"
2023-04-09,6:59 PM,"Dinner","Roast Beef, Tenderloin, No Visible Fat Eaten","10.00 oz",578.33,0.00,0.00,0.62,0.00,168.93,0.20,0.46,15.20,1.72,1.14,4.85,0.00,28.35,0.00,0.00,17.01,1.22,4.25,19.84,0.21,7.17,56.70,0.03,547.15,714.41,89.87,116.23,14.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.51,255.15,11.11,1.04,9.68,1.16,0.30,0.25,0.00,0.01,0.51,0.06,0.45,1.12,2.78,3.95,6.91,7.35,2.27,3.43,86.95,3.47,0.57,2.77,4.31,"Beef Products"
